영화인 '라이언 레놀즈'의 필모 리스트,,,,,,,,,
영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
리턴 투 파라다이스,Return To Paradise,1998,미국,"드라마,멜로/로맨스,스릴러",수입사,0,"14,762",,
엘리자베스,Elizabeth,1998,미국,"드라마,사극",수입사,0,"43,508",,
진저브래드맨,The Gingerbread Man,1998,미국,"스릴러,드라마",수입사,0,"4,573",,
씬 레드라인,The Thin Red Line,1998,미국,"드라마,액션,전쟁",수입사,0,"149,344",,
닥터 두리틀,Doctor Dolittle,1998,미국,"코미디,가족","배급사,수입사",0,"35,420",,
에버 애프터,Ever After,1998,미국,"드라마,코미디,판타지",수입사,0,"27,249",,
비상계엄,The Siege,1998,미국,"드라마,스릴러,액션",수입사,0,"298,903",,
짱,The Best,1998,한국,"드라마,액션",배급사,0,"51,247",,
엑스파일,The X Files,1998,"미국,캐나다","SF,공포(호러),드라마,스릴러","배급사,수입사",0,"239,832",,
나 홀로 집에 3,Home Alone 3,1997,미국,"가족,드라마,코미디",제작사,0,"98,647",,
타이타닉,Titanic,1997,미국,"드라마,멜로/로맨스,액션",배급사,0,"1,971,780","4,907,805,500","429,511"
악의 꽃,Inventing The Abbotts,1997,미국,드라마,수입사,0,"2,791",,
로미오와 줄리엣,Romeo And Juliet,1996,미국,"멜로/로맨스,액션,드라마","배급사,수입사",0,"491,435","89,416,400","13,310"
솔드 아웃,Jingle All The Way,1996,미국,"가족,액션,어드벤처,코미디",수입사,0,"69,360",,
체인 리액션,Chain Reaction,1996,미국,"액션,드라마",수입사,0,"148,397",,
걸 식스,Girl 6,1996,미국,"코미디,드라마",수입사,0,"3,040",,
고양이와 개에 관한 진실,The Truth About Cats & Dogs,1996,미국,코미디,"제작사,수입사",0,"30,587",,
커리지 언더 파이어,Courage Under Fire,1996,미국,"전쟁,액션,드라마,미스터리",수입사,0,"231,165",,
내 이름은 던스턴,Dunston Check In,1996,미국,"코미디,어드벤처",수입사,0,"8,032",,
인디펜던스 데이,Independence Day,1996,미국,"SF,액션","제작사,수입사",0,"923,223",,
잠망경을 올려라,Down Periscope,1996,미국,코미디,"제작사,수입사",0,"10,133",,
사랑을 기다리며,Waiting To Exhale,1996,미국,"코미디,드라마","제작사,수입사",0,"22,453",,
브로큰 애로우,Broken Arrow,1995,미국,"액션,어드벤처,스릴러","제작사,수입사",0,"202,598","237,000",85
나인 먼쓰,Nine Months,1995,미국,"멜로/로맨스,코미디",수입사,0,"89,556",,
구름 속의 산책,A Walk In The Clouds,1995,미국,드라마,수입사,0,"153,550","482,000",158
브레이브 하트,Brave Heart,1995,미국,"드라마,액션,전쟁,사극",수입사,0,"500,798","11,472,000","5,721"
이중노출,Kiss Of Death,1995,미국,스릴러,"제작사,수입사",0,"25,011",,
독 안에 들어간 쥐,Trapped In Paradise,1994,미국,코미디,수입사,0,"3,040",,
34번가의 기적,Miracle On 34Th Street,1994,미국,"가족,드라마",수입사,0,"84,665",,
나쁜 여자들,Bad Girls,1994,미국,서부극(웨스턴),수입사,0,"6,521","156,000",61
베이비 데이 아웃,Baby'S Day Out,1994,미국,"가족,코미디",수입사,0,"78,207",,
스피드,Speed,1994,미국,"스릴러,액션",수입사,0,"874,225",,
루키,Rookie Of The Year,1993,미국,"가족,코미디,판타지",수입사,0,"2,708",,
사랑의 커피,The Vanising,1993,미국,"공포(호러),드라마,미스터리,스릴러",수입사,0,"6,697",,
비버리 힐빌리즈,The Beverly Hillbillies,1993,미국,코미디,"배급사,수입사",0,"4,922",,
미세스 다웃파이어,Mrs. Doubtfire,1993,미국,"드라마,가족",수입사,0,"468,229","671,000",235
떠오르는 태양,Rising Sun,1993,미국,"미스터리,범죄,액션",수입사,0,"114,421",,
무단침입,Unlawful Entry,1993,미국,"범죄,스릴러",수입사,0,"34,990",,
엄마의 노래,Jack The Bear,1993,미국,"드라마,코미디",수입사,0,"1,448",,
오멘 4,Omen Ⅳ-The Awakening,1993,미국,공포(호러),수입사,0,"10,830",,
토이즈,Toys,1993,미국,"드라마,코미디,판타지",수입사,0,"11,395",,
못말리는 람보,Hot Shots! 2,1993,미국,코미디,수입사,0,"70,784",,
호파,Hoffa,1993,미국,드라마,수입사,0,"3,219",,
푸른 골짜기,Ferngully,1993,미국,애니메이션,수입사,0,"12,641",,
덩크슛,White Men Can'T Jump,1992,미국,"드라마,코미디",수입사,0,"22,188",,
키스의 전주곡,Prelude To A Kiss,1992,미국,멜로/로맨스,수입사,0,"39,388",,
나 홀로 집에 2,Home Alone 2,1992,미국,"가족,코미디,액션,스릴러",수입사,0,"442,144",,
래피드 화이어,Rapid Fire,1992,미국,"액션,드라마,스릴러",수입사,0,"28,949",,
에이리언3,Alien 3,1992,미국,"SF,공포(호러),스릴러,액션",수입사,0,"349,150","118,000",23
사랑의 용기,Shining Through,1992,미국,"멜로/로맨스,스릴러,전쟁,드라마",수입사,0,"19,973","220,000",78
어메이징 닌자,Teenage Mutant Ninja Turtle 2,1991,미국,액션,수입사,0,"9,836","40,000",10
나의 사촌 비니,My Cousin Vinny,1991,미국,"코미디,범죄",수입사,0,"8,876",,
귀여운 악마,Driving Me Crazy,1991,미국,"드라마,코미디",수입사,0,"8,176",,
못 말리는 비행사,Hot Shots,1991,미국,코미디,수입사,0,"229,505",,
폭풍속으로,Point Break,1991,미국,"액션,스릴러,범죄",수입사,0,"76,145",,
사랑을 위하여,Dying Young,1991,미국,멜로/로맨스,수입사,0,"195,490","153,000",51
적과의 동침,Sleeping With The Enemy,1991,미국,"드라마,범죄",수입사,0,"186,752",,
나홀로 집에,Home Alone,1990,미국,"가족,스릴러,어드벤처,코미디",수입사,0,"869,820",,
가위손,Edward Scissorhands,1990,미국,드라마,수입사,0,"77,114","41,870,000","5,904"
프레데터2,Predator 2,1990,미국,"SF,공포(호러),스릴러,액션",수입사,0,"86,094",,
다이 하드 2,Die Hard 2,1990,미국,액션,수입사,0,"651,009",,
3인의 약혼녀,Worth Winning,1989,미국,"드라마,코미디",수입사,0,"28,062",,
장미의 전쟁,The War Of The Rose,1989,미국,드라마,수입사,0,"81,215",,
심연,The Abyss,1989,미국,"SF,드라마,스릴러,액션,어드벤처",수입사,0,"80,558",,
더플라이 2,The Fly Ⅱ,1989,미국,"SF,공포(호러)",수입사,0,"102,009",,
운전면허,License To Drive,1988,미국,"드라마,코미디",수입사,0,"24,830",,
워킹걸,Working Girl,1988,미국,"드라마,코미디",수입사,0,"89,169",,
빅,Big,1988,미국,"가족,드라마,코미디,판타지",수입사,0,"225,999","3,023,000","1,213"
사이공,Saigon,1988,미국,드라마,제작사,0,"102,115",,
코쿤,Cocoon,1985,미국,"SF,드라마,어드벤처,코미디",수입사,0,"21,379",,
심령의 공포,The Entity,1981,미국,"공포(호러),미스터리,스릴러",수입사,0,"7,552",,
포키스,Porky's,1981,미국,코미디,수입사,0,"11,379",,
7인의 독수리,Sky Riders,1976,미국,"액션,어드벤처",제작사,0,"332,080",,
로미오와 줄리엣,Romeo And Juliet,1968,"영국,이탈리아","드라마,멜로/로맨스,사극",수입사,,"267,372","1,298,000",212
사운드 오브 뮤직,The Sound Of Music,1965,미국,"드라마,뮤지컬",배급사,0,"184,410","104,749,100","24,409"
성의,The Robe,1953,미국,"드라마,사극",제작사,0,"50,056","8,633,644","5,634"
몽키 비지니스,Monkey Business,1952,미국,"SF,코미디",제작사,,,"584,000",287
황야의 결투,My Darling Clementine,1946,미국,"드라마,서부극(웨스턴),범죄",제작사,,,"10,484,000","4,828"
데드풀 2,DEADPOOL 2,2018,미국,"액션,어드벤처,코미디,SF",주연,,,"18,607,000","1,271"
어벤져스: 인피니티 워,Avengers: Infinity War,2018,미국,"액션,어드벤처,판타지,SF",주연,"46,121,068,531","5,258,905","90,520,152,901","10,133,512"
시카리오: 데이 오브 솔다도,Sicario: Day of the Soldado,2018,미국,"액션,범죄,드라마",주연,,,,
온리 더 브레이브,Only the Brave,2017,미국,드라마,주연,"377,519,300","48,014","390,912,300","49,612"
서버비콘,Suburbicon,2017,미국,"범죄,미스터리",주연,,,,
"헤일, 시저!","Hail, Caesar!",2016,미국,"코미디,드라마",주연,"271,122,300","34,295","271,444,300","34,331"
시카리오: 암살자의 도시,Sicario,2015,미국,"범죄,미스터리,스릴러",주연,"1,237,950,192","153,009","1,239,282,692","153,225"
에베레스트,Everest,2015,"미국,영국","어드벤처,드라마,스릴러",주연,"3,055,119,748","332,180","3,055,119,748","332,180"
씬 시티: 다크히어로의 부활,Sin City: A dame to kill for,2013,미국,"액션,범죄,스릴러",주연,"656,718,748","83,182","656,718,748","83,182"
올드보이,Oldboy,2013,미국,"액션,스릴러",주연,"56,281,683","7,471","60,248,683","7,979"
레이버 데이,Labor Day,2013,미국,드라마,주연-프랭크 역역,,,,
맨 인 블랙 3,Men In Black III,2012,미국,"액션,코미디,SF",주연-젊은 케이역,"27,301,520,070","3,379,762","27,301,520,070","3,379,762"
갱스터 스쿼드,Gangster Squad,2012,미국,"범죄,드라마",주연,,,,
더 브레이브,True Grit,2010,미국,"드라마,서부극(웨스턴)",주연-톰 채니역,"240,423,500","31,152","240,912,000","31,217"
환상의 그대,You Will Meet a Tall Dark Stranger,2010,미국,"멜로/로맨스,코미디",주연,"198,216,500","24,579","207,940,000","25,968"
조나 헥스,Jonah Hex,2010,미국,"액션,드라마,스릴러,서부극(웨스턴)",주연-조나 헥스역,,,,
밀크,Milk,2008,미국,드라마,주연,"97,068,007","13,372","96,102,000","13,250"
더블유,W.,2008,"미국,호주,홍콩,스위스,중국",드라마,주연,,,,
플래닛 테러,Planet Terror,2007,미국,"액션,공포(호러),SF",주연-윌리엄 박사역,"124,562,500","19,324","124,562,500","19,324"
노인을 위한 나라는 없다,No Country For Old Men,2007,미국,"스릴러,드라마,범죄",주연- 를르윈 모스 역,"435,417,500","64,078","460,932,400","67,262"
씨크릿,Best Laid Plans,1999,미국,"범죄,드라마,스릴러",주연,,,,
구니스,The Goonies,1985,미국,"어드벤처,코미디,가족,스릴러",주연,0,"337,866",,
